cir_id,circ_name,total_votes,votes_ennahdha,votes_cpr,votes_fdtl,Wasted,Blank_ballots,cancelled_ballots,map
111,Tunis 1,216605,94834,18293,27227,33548,4025,6958,44531
112,Tunis 2,234156,68131,24296,43060,36202,3243,4781,44226
120,Ariana,206087,71170,17801,27570,31207,4185,4908,40300
130,Ben Arous,244789,99489,26104,30242,36907,4015,5805,46727
140,Manouba,140760,53457,12288,10432,26266,4454,4886,35606
151,Nabeul 1,181182,53332,21030,16577,36906,4142,6537,47585
152,Nabeul 2,133994,37050,17763,10006,25735,3629,5210,34574
160,Zaghouan,66484,21285,3099,2217,16378,2128,3045,21551
170,Bizerte,210563,80576,15532,13174,38825,4760,9233,52818
210,Beja,112641,30870,6834,6912,27653,5054,8330,41037
220,Jendouba,134743,33150,5602,8258,31695,6961,9763,48419
230,Kef,94907,23013,5346,4420,25223,3398,5370,33991
240,Siliana,78217,20135,3460,2511,21005,2700,4793,28498
310,Sousse,252810,86590,12926,10057,41543,4536,6719,52798
320,Monastir,211221,65800,8833,7862,44072,3360,5159,52591
330,Mahdia,140655,40738,8352,4284,27142,3982,5608,36732
341,Sfax 1,157844,66321,14191,6833,29439,3131,4420,36990
342,Sfax 2,223841,81702,28099,13028,39231,3323,4671,47225
410,Kairouan,179752,70391,7581,3739,34100,6327,9437,49864
420,Kasserine,141361,40971,8196,3263,34596,4685,8002,47283
430,Sidi Bouzid,138786,19850,2152,1340,24990,4235,7165,36390
510,Gabes,145977,73338,13776,1760,18973,3275,4463,26711
520,Medenine,160667,73316,15038,4417,28363,2547,4515,35425
530,Tataouine,44742,24954,1415,720,7844,1075,1642,10561
610,Gafsa,126834,48692,9294,2008,38423,2451,3808,44682
620,Tozeur,46633,18944,2217,1099,10870,1136,1530,13536
630,Kebili,71771,27417,18093,650,13072,1491,2549,17112